Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson
接触,jiēchù,v.,"to contact, to get in touch with",34
接近,jiējìn,v.,"to approach, to be close to",30
结合,jiéhé,v.,"to combine, to integrate",36
届,jiè,m.,"session, year, class",28
尽快,jǐnkuài,adv.,as soon as possible,21
尽量,jǐnliàng,adv.,"to the best of one's abilities, to the greatest extent",32
紧急,jǐnjí,adj.,"urgent, emergent",36
谨慎,jǐnshèn,adj.,"cautious, prudent",25
进步,jìnbù,v.,"to make progress, to improve",24
经典,jīngdiǎn,n./adj.,classics; classical,21
经商,jīngshāng,v.,"to do business, to engage in trade",23
酒吧,jiǔbā,n.,bar (for drinks),23
橘子,júzi,n.,tangerine,19
巨大,jùdà,adj.,"huge, tremendous",22
具体,jùtǐ,adj.,"specific, detailed",28
据说,jùshuō,v.,"it is said, reputedly",26
决赛,juésài,v.,"final, final match",30
角色,juésè,n.,"role, part",34
均匀,jūnyún,adj.,"even, well-distributed",19
开放,kāifàng,v.,to open to the public,21
开水,kāishuǐ,n.,boiled water,35
砍,kǎn,v.,"to cut, to chop, to fell",32
看不起,kànbuqǐ,v.,"to look down upon, to despise",31
可怕,kěpà,adj.,"terrible, dreadful",25
克服,kèfú,v.,"to overcome, to conquer",21
刻苦,kèkǔ,adj.,"hardworking, assiduous",23
客观,kèguān,adj.,objective,22
空闲,kòngxián,adj.,"leisurely, free",24
控制,kòngzhì,v.,"to control, to take command of",35
口味,kǒuwèi,n.,"taste, flavor",19
库,kù,n.,"storehouse, bank",21
夸,kuā,v.,to praise,19
夸张,kuāzhāng,adj.,exaggerated,32
宽,kuān,adj.,"wide, broad",33
狂,kuáng,adj.,"wildly, unrestrainedly",25
昆虫,kūnchóng,n.,insect,34
扩(大),kuò(dà),v.,"to enlarge, to expand, to broaden",33
朗读,lǎngdú,v.,to read aloud,24
劳驾,láojià,v.,to trouble sb. (to do sth.),36
老板,lǎobǎn,n.,"boss, employer",28
乐观,lèguān,adj.,optimistic,28
冷淡,lěngdàn,adj.,"cold, indifferent",31
梨,lí,n.,pear,19
理由,lǐyóu,n.,"reason, ground",22
カ量,カliàng,n.,"strength, capability",24
利润,lìrùn,n.,profit,29
利益,lìyì,n.,"benefit, interest",29
利用,lìyòng,v.,"to utilize, to make use of",24
恋爱,liàn'ài,n.,(romantic) love,31
了不起,liǎobuqǐ,adj.,"great, amazing",31
领域,lǐngyù,n.,"field, domain, realm",29
陆续,lùxù,adv.,"one after another, in succession",28
录取,lùqǔ,v.,"to enroll, to admit",23
逻辑,luóji,n.,logic,21
落后,luòhòu,v.,"foll behind, to lag behind",30
冒险,màoxiǎn,v.,"to venture, to have an adventure",26
媒体,méitǐ,n.,"media, mass media",29
煤炭,méitàn,n.,coal,32
梦想,mèngxiǎng,n./v.,dream; to dream,21
秘密,mìmì,adj./n.,secret,34
密切,mìqiè,adj.,"close, intimate",32
面对,miànduì,v.,"to face, to confront",28
面积,miànjī,n.,"area, space",33
面临,miànlín,v.,"to face, to confront",23
敏感,mǐngǎn,adj.,"sensitive, susceptible",32
名牌,míngpái,n.,famous brand,23
明确,míngquè,adj.,"clear and definite, explicit",33
命运,mìngyùn,n.,"fate, destiny",32
模糊,móhu,adj.,"blurred, indistinct, vague",31
陌生,mòshēng,adj.,"strange, unfamiliar",23
某,mǒu,pron.,"some, certain",23
木头,mùtou,n.,"wood, timber",20
目标,mùbiāo,n.,"goal, objective",23
难怪,nánguài,v.,"to be understandable, to be reasonable",33
难免,nánmiǎn,adj.,hard to avoid,22
内部,nèibù,n.,"inside, interior, inner part",35
嫩,nèn,adj.,"soft, tender",19
能干,nénggàn,adj.,cаpable,23
能源,néngyuán,n.,energy resource,32
嗯,ǹg,int.,used to indicate positive response,31
年代,niándài,n.,decade of a century,20
年纪,niánjì,n.,age,20
念,niàn,v.,to study,23
农业,nóngyè,n.,agriculture,32
偶然,ǒurán,adj./adv.,accidental; by chance,21
培训,péixùn,v.,to train,24
培养,péiyǎng,v.,"to foster, to train",29
赔偿,péicháng,v.,"to compensate, to indemnify",33
佩服,pèifú,v.,to admire,21
批,pī,m.,"group, batch",26
批准,pīzhǔn,v.,"to ratify, to approve",33
疲劳,píláo,adj.,"tired, fatigued",26
片,piàn,n.,flat and thin piece,35
平安,píng'ān,adj.,"safe, well",19
平等,píngděng,adj.,equal,22
平衡,pínghéng,adj.,balanced,25
凭,píng,v./prep.,to rely on; on the basis of,20
迫切,pòqiè,adj.,"urgent, pressing, eager",31
破坏,pòhuài,v.,"to destroy, to damage",32
期待,qīdài,v.,to look forward to,33
