Word/Phrase,Pinyin,Part of Speech,Meaning,Lesson
时刻,shíkè,n.,moment,3
时期,shíqī,n.,"period, stage",4
时尚,shíshàng,n.,fashion,9
实现,shíxiàn,v.,"to realize, to achieve",12
实验,shíyàn,v./n.,to make an experiment; experiment,11
食物,shíwù,n.,food,4
始终,shǐzhōng,adv.,"from the beginning to the end, all along",10
士兵,shìbīng,n.,soldier,7
市场,shìchǎng,n.,market,11
似的,shìde,part.,"(indicating similarity) like, as",6
事实,shìshí,n.,fact,18
事物,shìwù,n.,"thing, object",17
手指,shǒuzhǐ,n.,finger,1
守岁,shǒusuì,v.,to stay up late or all night on New Year's Eve,6
首,shǒu,n.,"head, first",9
舒适,shūshì,adj.,"comfortable, cozy",3
蔬菜,shūcài,n.,vegetable,8
数,shù,num.,several,11
甩,shuǎi,v.,"to throw off, to swing",4
说不定,shuōbudìng,adv.,"perhaps, possibly, it's likely that...",6
说服,shuōfú,v.,"to persuade, to convince",10
似乎,sìhū,adv.,"it seems that..., seemingly",8
算,suàn,v.,"to regard as, to count as",9
随时,suíshí,adv.,at any time,3
随手,suíshǒu,adv.,"randomly, without extra trouble",18
碎,suì,v./adj.,"to break into pieces; broken, fragmentary",7
